appetizers,entrees,sides,drinks,desserts
category,item,ammount,price,order,inventory
appetizers,motzerlla sticks,1,1.50,0,5
appetizers,onion rings,1,1.75,0,5
appetizers,garlic bread,1,2.0,0,10
entrees,cheeze burger,2,8.50,0,5
entrees,wrap,1,8.75,0,5
entrees,patty melt,1,9.20,0,5
sides,french fries,2,2.50,0,10
sides,salad,3,2.75,0,15
sides,pickel,1,1.15,0,10
drinks,pop,1,3.15,0,5
drinks,bud light,1,2.75,0,5
drinks,coffee,1,.75,0,5
desserts,cheese cake,1,2.5,0,5
desserts,pie,1,1.5,0,5
desserts,fruit cup,1,2,0,5
